id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,auc,balacc,logloss
openml.org/t/7592,adult,autosklearn_hyperboost,1h12c,0,binary,0.930478,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-03T23:21:12,3640.7,3603.1,10.9,11,1743001721,,0.872876,0.930478,0.822924,0.447704
openml.org/t/7592,adult,autosklearn_hyperboost,1h12c,1,binary,0.928473,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-04T00:21:47,3634.8,3611.2,5.2,12,1743001722,,0.876151,0.928473,0.803969,0.428464
openml.org/t/7592,adult,autosklearn_hyperboost,1h12c,2,binary,0.93017,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-04T01:22:28,3640.5,3624.8,0.8,5,1743001723,,0.760852,0.93017,0.5,0.554274
openml.org/t/7592,adult,autosklearn_hyperboost,1h12c,3,binary,0.925346,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-04T02:23:16,3648.1,3626.5,3.7,7,1743001724,,0.867322,0.925346,0.811248,0.288619
openml.org/t/7592,adult,autosklearn_hyperboost,1h12c,4,binary,0.927184,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-04T03:23:40,3623.8,3606.6,1.7,5,1743001725,,0.873874,0.927184,0.798529,0.664038
openml.org/t/7592,adult,autosklearn_hyperboost,1h12c,5,binary,0.923525,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-04T04:24:15,3635.5,3607.7,6.9,12,1743001726,,0.869165,0.923525,0.815507,0.424202
openml.org/t/7592,adult,autosklearn_hyperboost,1h12c,6,binary,0.929824,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-04T05:24:45,3630.2,3613.9,1.1,6,1743001727,,0.871826,0.929824,0.799962,0.577517
openml.org/t/7592,adult,autosklearn_hyperboost,1h12c,7,binary,0.931539,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-04T06:27:38,3772.9,3608.1,75.4,12,1743001728,,0.872645,0.931539,0.801087,0.388979
openml.org/t/7592,adult,autosklearn_hyperboost,1h12c,8,binary,0.938589,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-04T07:28:09,3630.8,3608.3,4.5,9,1743001729,,0.88104,0.938589,0.826244,0.270023
openml.org/t/7592,adult,autosklearn_hyperboost,1h12c,9,binary,0.931898,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-04T08:28:38,3628.8,3606.1,4.7,10,1743001730,,0.874693,0.931898,0.782793,0.412092
openml.org/t/34539,Amazon_employee_access,autosklearn_hyperboost,1h12c,0,binary,0.869967,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-04T09:32:38,3832.6,3608.5,106.7,13,1743001721,,0.950565,0.869967,0.623584,0.318412
openml.org/t/34539,Amazon_employee_access,autosklearn_hyperboost,1h12c,1,binary,0.85657,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-04T10:35:44,3786.7,3608.1,82.6,18,1743001722,,0.949954,0.85657,0.613326,0.347803
openml.org/t/34539,Amazon_employee_access,autosklearn_hyperboost,1h12c,2,binary,0.849546,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-04T11:36:23,3639.1,3610.5,6.6,11,1743001723,,0.945987,0.849546,0.60089,0.489536
openml.org/t/34539,Amazon_employee_access,autosklearn_hyperboost,1h12c,3,binary,0.85267,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-04T12:37:01,3638.0,3608.1,8.7,12,1743001724,,0.945377,0.85267,0.538826,0.195513
openml.org/t/34539,Amazon_employee_access,autosklearn_hyperboost,1h12c,4,binary,0.86847,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-04T13:37:28,3627.0,3601.1,6.1,17,1743001725,,0.953616,0.86847,0.674088,0.230363
openml.org/t/34539,Amazon_employee_access,autosklearn_hyperboost,1h12c,5,binary,0.858452,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-04T14:38:05,3636.6,3605.6,9.8,14,1743001726,,0.947818,0.858452,0.589514,0.164704
openml.org/t/34539,Amazon_employee_access,autosklearn_hyperboost,1h12c,6,binary,0.842087,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-04T15:38:47,3641.9,3605.6,11.1,16,1743001727,,0.95209,0.842087,0.643643,0.183258
openml.org/t/34539,Amazon_employee_access,autosklearn_hyperboost,1h12c,7,binary,0.846942,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-04T16:39:08,3621.4,3598.7,4.7,14,1743001728,,0.951175,0.846942,0.62587,0.39565
openml.org/t/34539,Amazon_employee_access,autosklearn_hyperboost,1h12c,8,binary,0.880288,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-04T17:39:37,3628.2,3605.5,4.7,18,1743001729,,0.945682,0.880288,0.536518,0.196281
openml.org/t/34539,Amazon_employee_access,autosklearn_hyperboost,1h12c,9,binary,0.874031,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-04T18:41:12,3695.1,3607.5,37.1,18,1743001730,,0.946276,0.874031,0.571645,0.241599
openml.org/t/168868,APSFailure,autosklearn_hyperboost,1h12c,0,binary,0.990028,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-04T19:41:43,3631.2,3606.8,4.7,11,1743001721,,0.994342,0.990028,0.875309,0.0474996
openml.org/t/168868,APSFailure,autosklearn_hyperboost,1h12c,1,binary,0.98944,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-04T20:42:17,3634.6,3611.3,4.2,14,1743001722,,0.992105,0.98944,0.838344,0.0725405
openml.org/t/168868,APSFailure,autosklearn_hyperboost,1h12c,2,binary,0.995396,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-04T21:45:07,3769.6,3608.8,73.2,12,1743001723,,0.993026,0.995396,0.831648,0.0656891
openml.org/t/168868,APSFailure,autosklearn_hyperboost,1h12c,3,binary,0.993419,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-04T22:45:47,3639.6,3617.6,3.6,9,1743001724,,0.995789,0.993419,0.890377,0.0247655
openml.org/t/168868,APSFailure,autosklearn_hyperboost,1h12c,4,binary,0.990728,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-04T23:46:28,3641.1,3604.3,10.8,7,1743001725,,0.995,0.990728,0.89714,0.0181926
openml.org/t/168868,APSFailure,autosklearn_hyperboost,1h12c,5,binary,0.994962,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-05T00:46:54,3625.6,3602.3,4.1,10,1743001726,,0.992105,0.994962,0.796833,0.189435
openml.org/t/168868,APSFailure,autosklearn_hyperboost,1h12c,6,binary,0.994534,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-05T01:47:23,3629.0,3609.3,2.3,7,1743001727,,0.995395,0.994534,0.90875,0.05661
openml.org/t/168868,APSFailure,autosklearn_hyperboost,1h12c,7,binary,0.995479,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-05T02:48:02,3639.6,3613.1,5.7,13,1743001728,,0.994211,0.995479,0.908147,0.0334608
openml.org/t/168868,APSFailure,autosklearn_hyperboost,1h12c,8,binary,0.987612,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-05T03:48:31,3628.5,3602.8,5.4,13,1743001729,,0.994079,0.987612,0.886743,0.0477306
openml.org/t/168868,APSFailure,autosklearn_hyperboost,1h12c,9,binary,0.990923,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-05T04:49:04,3632.8,3609.1,4.4,13,1743001730,,0.993684,0.990923,0.868761,0.0763633
openml.org/t/14965,bank-marketing,autosklearn_hyperboost,1h12c,0,binary,0.93819,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-05T05:49:46,3636.9,3610.8,5.5,10,1743001721,,0.908226,0.93819,0.724185,0.19343
openml.org/t/14965,bank-marketing,autosklearn_hyperboost,1h12c,1,binary,0.935145,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-05T06:50:18,3632.0,3607.1,5.3,16,1743001722,,0.904667,0.935145,0.706079,0.197145
openml.org/t/14965,bank-marketing,autosklearn_hyperboost,1h12c,2,binary,0.943653,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-05T07:50:49,3630.3,3610.9,2.7,12,1743001723,,0.918602,0.943653,0.761224,0.202589
openml.org/t/14965,bank-marketing,autosklearn_hyperboost,1h12c,3,binary,0.937782,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-05T08:51:22,3633.9,3610.8,4.4,11,1743001724,,0.910197,0.937782,0.721208,0.196943
openml.org/t/14965,bank-marketing,autosklearn_hyperboost,1h12c,4,binary,0.939569,auc,local,0.14.3,,"dev [https://github.com/tdhooghe/automlbenchmark.git, master, 8c07020]",2022-01-05T09:51:44,3621.6,3599.6,4.1,12,1743001725,,0.909091,0.939569,0.73534,0.215443
