framework,type,task,constraint,mean,std
autosklearn,binary,airlines,1h12c,0.728,0.0012
autosklearn,binary,albert,1h12c,0.759,0.0003
autosklearn,binary,higgs,1h12c,0.814,0.0042
autosklearn,binary,numerai28_6,1h12c,0.527,0.0049
autosklearn,multiclass,covertype,1h12c,-0.148,0.0013
autosklearn,multiclass,dionis,1h12c,-1.055,0.0867
autosklearn,multiclass,helena,1h12c,-2.552,0.0122
autosklearn,multiclass,robert,1h12c,-1.427,0.0374
autosklearn2,binary,airlines,1h12c,0.728,0.0019
autosklearn2,binary,albert,1h12c,0.755,0.002
autosklearn2,binary,higgs,1h12c,0.818,0.0039
autosklearn2,binary,numerai28_6,1h12c,0.529,0.0076
autosklearn2,multiclass,covertype,1h12c,-0.112,0.0079
autosklearn2,multiclass,dionis,1h12c,-0.541,0.0062
autosklearn2,multiclass,helena,1h12c,-2.495,0.0224
autosklearn2,multiclass,robert,1h12c,-1.504,0.0187
autosklearn2_hyperboost,binary,airlines,1h12c,0.726,0.0024
autosklearn2_hyperboost,binary,albert,1h12c,0.759,0.0024
autosklearn2_hyperboost,binary,higgs,1h12c,0.813,0.0041
autosklearn2_hyperboost,binary,numerai28_6,1h12c,0.526,0.0041
autosklearn2_hyperboost,multiclass,covertype,1h12c,-0.146,0.0013
autosklearn2_hyperboost,multiclass,dionis,1h12c,-1.019,0.0674
autosklearn2_hyperboost,multiclass,helena,1h12c,-2.562,0.0258
autosklearn2_hyperboost,multiclass,robert,1h12c,-1.446,0.0179
autosklearn_hyperboost,binary,airlines,1h12c,0.725,0.0019
autosklearn_hyperboost,binary,albert,1h12c,0.756,0.0011
autosklearn_hyperboost,binary,higgs,1h12c,0.813,0.0039
autosklearn_hyperboost,binary,numerai28_6,1h12c,0.527,0.0049
autosklearn_hyperboost,multiclass,covertype,1h12c,-0.146,0.0007
autosklearn_hyperboost,multiclass,dionis,1h12c,-1.173,0.0957
autosklearn_hyperboost,multiclass,helena,1h12c,-2.558,0.0194
autosklearn_hyperboost,multiclass,robert,1h12c,-1.439,0.0102
